arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
huber_weighted,huber,True,v1,2,2018,False,True,-1,7.333333333333333,True,9.857720375061035,15.912973403930664,16.474788665771484,273,1300
quantile,quantile,True,v1,2,2018,False,True,0,4.0,False,9.854121208190918,16.0583553314209,16.653818130493164,273,1300
quantile,quantile,True,v1,2,2018,False,True,1,2.0,False,9.88622760772705,16.090299606323242,16.40607261657715,273,1300
quantile,quantile,True,v1,2,2018,False,True,2,5.0,False,9.870996475219727,15.949085235595703,16.226137161254883,273,1300
quantile,quantile,True,v1,2,2018,False,True,-1,3.6666666666666665,True,9.857982635498047,16.000301361083984,16.392803192138672,273,1300
baseline,mse,False,v1,3,2019,False,True,0,27.0,False,17.276220321655273,35.90895462036133,33.446128845214844,476,1300
baseline,mse,False,v1,3,2019,False,True,1,29.0,False,17.47014808654785,36.645408630371094,33.82691955566406,476,1300
baseline,mse,False,v1,3,2019,False,True,2,23.0,False,18.143911361694336,38.63926315307617,35.863800048828125,476,1300
baseline,mse,False,v1,3,2019,False,True,-1,26.333333333333332,True,17.50278091430664,36.82952880859375,34.08635330200195,476,1300
huber,huber,False,v1,3,2019,False,True,0,31.0,False,17.211772918701172,35.766204833984375,33.086753845214844,476,1300
huber,huber,False,v1,3,2019,False,True,1,26.0,False,17.191133499145508,35.81250762939453,33.06959915161133,476,1300
huber,huber,False,v1,3,2019,False,True,2,25.0,False,17.492067337036133,36.9115104675293,33.84221267700195,476,1300
huber,huber,False,v1,3,2019,False,True,-1,27.333333333333332,True,17.225255966186523,35.96434020996094,33.14797592163086,476,1300
level_weighted,mse,True,v1,3,2019,False,True,0,25.0,False,17.88227081298828,37.82045364379883,35.11311721801758,476,1300
level_weighted,mse,True,v1,3,2019,False,True,1,34.0,False,18.446979522705078,40.28330612182617,36.566253662109375,476,1300
level_weighted,mse,True,v1,3,2019,False,True,2,1.0,False,17.55164909362793,35.76581573486328,33.38532638549805,476,1300
level_weighted,mse,True,v1,3,2019,False,True,-1,20.0,True,17.611902236938477,36.81310272216797,34.31979751586914,476,1300
huber_weighted,huber,True,v1,3,2019,False,True,0,41.0,False,17.5033016204834,36.33177947998047,33.93608856201172,476,1300
huber_weighted,huber,True,v1,3,2019,False,True,1,47.0,False,17.755874633789062,37.41366195678711,34.43084716796875,476,1300
huber_weighted,huber,True,v1,3,2019,False,True,2,53.0,False,17.63077163696289,37.56043243408203,34.35402297973633,476,1300
huber_weighted,huber,True,v1,3,2019,False,True,-1,47.0,True,17.53493881225586,36.90393829345703,34.0406608581543,476,1300
quantile,quantile,True,v1,3,2019,False,True,0,59.0,False,17.565645217895508,36.79676818847656,34.08540725708008,476,1300
