node_id,canonical_name,mae,model,fold_id
9,Kalutara,34.39622641509434,seasonal_naive,6
10,Kandy,25.339622641509433,seasonal_naive,6
11,Kegalle,23.22641509433962,seasonal_naive,6
12,Kilinochchi,2.169811320754717,seasonal_naive,6
13,Kurunegala,23.660377358490567,seasonal_naive,6
14,Mannar,6.584905660377358,seasonal_naive,6
15,Matale,17.547169811320753,seasonal_naive,6
16,Matara,21.09433962264151,seasonal_naive,6
17,Moneragala,6.339622641509434,seasonal_naive,6
18,Mullaitivu,1.0943396226415094,seasonal_naive,6
19,Nuwara Eliya,3.3962264150943398,seasonal_naive,6
20,Polonnaruwa,2.452830188679245,seasonal_naive,6
21,Puttalam,29.566037735849058,seasonal_naive,6
22,Ratnapura,26.943396226415093,seasonal_naive,6
23,Trincomalee,17.339622641509433,seasonal_naive,6
24,Vavuniya,1.6603773584905661,seasonal_naive,6
0,Ampara,19.0,persistence,7
1,Anuradhapura,7.403846153846154,persistence,7
2,Badulla,16.0,persistence,7
3,Batticaloa,12.461538461538462,persistence,7
4,Colombo,65.0576923076923,persistence,7
5,Galle,18.173076923076923,persistence,7
6,Gampaha,46.96153846153846,persistence,7
7,Hambantota,10.807692307692308,persistence,7
8,Jaffna,26.423076923076923,persistence,7
9,Kalutara,59.67307692307692,persistence,7
10,Kandy,42.86538461538461,persistence,7
11,Kegalle,17.0,persistence,7
12,Kilinochchi,2.076923076923077,persistence,7
13,Kurunegala,14.096153846153847,persistence,7
14,Mannar,2.4038461538461537,persistence,7
15,Matale,12.884615384615385,persistence,7
16,Matara,12.5,persistence,7
17,Moneragala,13.5,persistence,7
18,Mullaitivu,2.5961538461538463,persistence,7
19,Nuwara Eliya,3.8846153846153846,persistence,7
20,Polonnaruwa,8.26923076923077,persistence,7
21,Puttalam,19.807692307692307,persistence,7
22,Ratnapura,18.73076923076923,persistence,7
23,Trincomalee,15.365384615384615,persistence,7
24,Vavuniya,2.923076923076923,persistence,7
0,Ampara,26.903846153846153,seasonal_naive,7
1,Anuradhapura,11.538461538461538,seasonal_naive,7
2,Badulla,19.615384615384617,seasonal_naive,7
3,Batticaloa,31.25,seasonal_naive,7
4,Colombo,219.67307692307693,seasonal_naive,7
5,Galle,43.84615384615385,seasonal_naive,7
6,Gampaha,125.0576923076923,seasonal_naive,7
7,Hambantota,20.307692307692307,seasonal_naive,7
8,Jaffna,77.3076923076923,seasonal_naive,7
9,Kalutara,61.40384615384615,seasonal_naive,7
10,Kandy,139.0,seasonal_naive,7
11,Kegalle,33.65384615384615,seasonal_naive,7
12,Kilinochchi,2.826923076923077,seasonal_naive,7
13,Kurunegala,34.40384615384615,seasonal_naive,7
14,Mannar,5.076923076923077,seasonal_naive,7
15,Matale,21.23076923076923,seasonal_naive,7
16,Matara,13.615384615384615,seasonal_naive,7
17,Moneragala,13.423076923076923,seasonal_naive,7
18,Mullaitivu,2.923076923076923,seasonal_naive,7
19,Nuwara Eliya,5.346153846153846,seasonal_naive,7
20,Polonnaruwa,9.923076923076923,seasonal_naive,7
21,Puttalam,35.19230769230769,seasonal_naive,7
22,Ratnapura,23.826923076923077,seasonal_naive,7
23,Trincomalee,21.21153846153846,seasonal_naive,7
24,Vavuniya,4.326923076923077,seasonal_naive,7
0,Ampara,10.538461538461538,persistence,8
1,Anuradhapura,9.673076923076923,persistence,8
2,Badulla,7.730769230769231,persistence,8
3,Batticaloa,7.6923076923076925,persistence,8
4,Colombo,35.51923076923077,persistence,8
5,Galle,11.25,persistence,8
6,Gampaha,21.692307692307693,persistence,8
7,Hambantota,7.8076923076923075,persistence,8
8,Jaffna,29.173076923076923,persistence,8
9,Kalutara,12.653846153846153,persistence,8
10,Kandy,15.25,persistence,8
11,Kegalle,13.23076923076923,persistence,8
12,Kilinochchi,3.269230769230769,persistence,8
13,Kurunegala,13.403846153846153,persistence,8
14,Mannar,3.4615384615384617,persistence,8
15,Matale,7.5,persistence,8
16,Matara,8.115384615384615,persistence,8
17,Moneragala,8.211538461538462,persistence,8
