date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2016-05-15,Colombo,226.872352886099,105.89635985062344,120.98,both
2016-05-16,Colombo,39.2849733517903,73.45611423249679,-34.17,chirps only
2016-05-17,Colombo,60.529113082615005,86.49935862558544,-25.97,both
2016-05-19,Colombo,39.90086906265972,120.01159712323285,-80.11,chirps only
2016-05-27,Colombo,32.057443458369775,99.1623434926814,-67.1,chirps only
2016-05-31,Colombo,19.011393632961653,65.73108429466596,-46.72,chirps only
2016-11-19,Colombo,50.21724600683309,23.41807044562427,26.8,era5 only
2017-01-30,Colombo,64.03852937685156,7.787963648535991,56.25,era5 only
2017-05-25,Colombo,17.734742368689293,55.71608724906229,-37.98,chirps only
2017-05-26,Colombo,22.200844451247143,67.54691754453836,-45.35,chirps only
2017-08-18,Colombo,36.96551120916656,51.73769412543557,-14.77,chirps only
2017-09-07,Colombo,10.408249864126752,58.64518534721031,-48.24,chirps only
2017-11-06,Colombo,51.48554951950972,22.552503185619017,28.93,era5 only
2017-11-29,Colombo,56.71749464437597,45.44940695840665,11.27,era5 only
2017-11-30,Colombo,57.17288423280312,43.896309311606686,13.28,era5 only
2018-05-20,Colombo,29.131886751373425,59.2006740146984,-30.07,chirps only
2018-06-06,Colombo,36.06919012500364,52.59607217138466,-16.53,chirps only
2018-06-07,Colombo,61.6533709583436,41.41519438396802,20.24,era5 only
2018-09-29,Colombo,75.74795075676762,11.9990587211739,63.75,era5 only
2018-09-30,Colombo,82.98102270723325,21.848844852274123,61.13,era5 only
2018-10-24,Colombo,72.55401002415256,13.308533452727575,59.25,era5 only
2019-06-21,Colombo,13.37499292835209,72.47332431593811,-59.1,chirps only
2019-07-18,Colombo,61.443992016344616,27.81006894770536,33.63,era5 only
2019-08-08,Colombo,15.245983600435302,62.06158003707367,-46.82,chirps only
2019-08-13,Colombo,60.90440867314363,22.54743206140129,38.36,era5 only
2019-09-15,Colombo,16.414814416176515,73.76444518778547,-57.35,chirps only
2019-09-16,Colombo,23.911709821084905,50.24723250246048,-26.34,chirps only
2019-09-23,Colombo,31.765375510446567,73.7498619755832,-41.98,chirps only
2019-09-24,Colombo,25.87087197897642,70.75682063770297,-44.89,chirps only
2019-10-13,Colombo,58.08171353043637,26.39212039249595,31.69,era5 only
